
No	私判断	私分類	AI判断	AI分類	AIメモ	判断一致	再確認結果
01			残す		形状良好、目立つ欠点なし		
02			残す		形状良好、目立つ欠点なし		
03			残す		形状良好、目立つ欠点なし		
04			残す		形状良好、目立つ欠点なし		
05			残す		形状良好、目立つ欠点なし		
06			判断迷い	黒っぽい変色	中央にやや暗い着色が見られるため再確認推奨		
07			残す		形状良好、目立つ欠点なし		
08			残す		形状良好、目立つ欠点なし		
09			残す		形状良好、目立つ欠点なし		
10			残す		形状良好、目立つ欠点なし		
11			残す		形状良好、目立つ欠点なし		
12			残す		形状良好、目立つ欠点なし		
13			残す		形状良好、目立つ欠点なし		
14			判断迷い	黒っぽい変色	表面に濃淡の斑点あり、要再確認		
15			除去	割れ・欠け	深い割れと欠損、内部露出あり		
16			残す		形状良好、目立つ欠点なし		
17			残す		形状良好、目立つ欠点なし		
18			残す		形状良好、目立つ欠点なし		
19			残す		形状良好、目立つ欠点なし		
20			残す		形状良好、目立つ欠点なし		
21			残す		形状良好、目立つ欠点なし		
22			除去	割れ・欠け	角欠損・変形が目立つため除去推奨		
23			残す		形状良好、目立つ欠点なし		
24			除去	割れ・欠け	側面の欠けと内部露出あり		
25			残す		形状良好、目立つ欠点なし		
26			残す		形状良好、目立つ欠点なし		
27			残す		形状良好、目立つ欠点なし		
28			残す		形状良好、目立つ欠点なし		
29			残す		形状良好、目立つ欠点なし		
30			残す		形状良好、目立つ欠点なし		
31			残す		形状良好、目立つ欠点なし		
32			残す		形状良好、目立つ欠点なし		
33			残す		形状良好、目立つ欠点なし		
34			残す		形状良好、目立つ欠点なし		
35			残す		形状良好、目立つ欠点なし		
36			残す		形状良好、目立つ欠点なし		
37			除去	虫食い・カビ疑い	穿孔（穴）と表面異常が確認できるため除去		
38			残す		形状良好、目立つ欠点なし		
39			残す		形状良好、目立つ欠点なし		
40			残す		形状良好、目立つ欠点なし		
41			判断迷い	小さい豆	周囲と比較してやや小さい、再確認推奨		
42			残す		形状良好、目立つ欠点なし
