
No	私判断	私分類	AI判断	AI分類	AIメモ	判断一致	再確認結果
01			残す		目立った欠点なし		
02			残す		形状・色ともに良好		
03			残す		形状良好、欠点なし		
04			残す		目立つ変色や欠けなし		
05			残す		均質な外観		
06			残す		目立つ欠点なし		
07			残す		形状良好		
08			残す		やや小ぶりだが問題なし		
09			残す		表面良好		
10			残す		目立った欠点なし		
11			残す		形状良好		
12			残す		色・形ともに良好		
13			残す		外観問題なし		
14			残す		形状良好		
15			除去		黒っぽい変色	溝付近と表面に濃褐色の変色あり		
16			判断迷い	小さい豆	判断迷い	他と比べやや小粒、再確認推奨		
17			除去		虫食い・カビ疑い	溝の周辺に緑〜褐色の斑点、欠損あり		
18			判断迷い	黒っぽい変色	浅い溝に濃色部あり、要再確認		
19			除去		黒っぽい変色	溝周辺に濃褐色変色が明瞭		
20			残す		形状良好		
21			除去		形状異常・シワなど	強いしわ・縮みがあり均一でない		
22			判断迷い	割れ・欠け	溝の裂けがやや大きい、再確認推奨		
23			残す		目立った欠点なし		
24			残す		形状良好		
25			除去		割れ・欠け	大きく割れて内部が露出		
26			残す		外観良好		
27			残す		形状良好		
28			残す		目立った欠点なし		
29			残す		形状良好		
30			判断迷い	割れ・欠け	浅い裂けあり、除去か残すか要確認		
31			除去		小さい豆	明らかに小粒で基準外		
32			残す		形状良好		
33			残す		目立った欠点なし		
34			残す		形状良好		
35			除去		小さい豆	他と比較して小さく平坦		
36			残す		目立った欠点なし		
37			除去		形状異常・シワなど	著しいしわ・変形あり		
38			残す		外観良好		
39			残す		形状良好		
40			除去		黒っぽい変色	溝と表面に濃色変色がある		
41			残す		目立った欠点なし		
42			除去		割れ・欠け	大きな割れで内部露出あり		


